abs,"\nabs( x:ndarray|ArrayLikeObject|number[, options:Object] )\n    Computes the absolute value.\n"
incrpcorr2,"\nincrpcorr2( [mx:number, my:number] )\n    Returns an accumulator function which incrementally computes the squared\n    sample Pearson product-moment correlation coefficient.\n"
incrpcorrdist,"\nincrpcorrdist( [mx:number, my:number] )\n    Returns an accumulator function which incrementally computes a sample\n    Pearson product-moment correlation distance.\n"
incrpcorrdistmat,"\nincrpcorrdistmat( out:integer|ndarray[, means:ndarray] )\n    Returns an accumulator function which incrementally computes a sample\n    Pearson product-moment correlation distance matrix.\n"
incrpcorrmat,"\nincrpcorrmat( out:integer|ndarray[, means:ndarray] )\n    Returns an accumulator function which incrementally computes a sample\n    Pearson product-moment correlation matrix.\n"
incrprod,"\nincrprod()\n    Returns an accumulator function which incrementally computes a product.\n"
incrrange,"\nincrrange()\n    Returns an accumulator function which incrementally computes a range.\n"
incrrmse,"\nincrrmse()\n    Returns an accumulator function which incrementally computes the root mean\n    squared error (RMSE).\n"
incrrss,"\nincrrss()\n    Returns an accumulator function which incrementally computes the residual\n    sum of squares (RSS).\n"
incrskewness,"\nincrskewness()\n    Returns an accumulator function which incrementally computes a corrected\n    sample skewness.\n"
incrspace,"\nincrspace( start:number, stop:number[, increment:number] )\n    Generates a linearly spaced numeric array using a provided increment.\n"
incrstdev,"\nincrstdev( [mean:number] )\n    Returns an accumulator function which incrementally computes a corrected\n    sample standard deviation.\n"
incrsum,"\nincrsum()\n    Returns an accumulator function which incrementally computes a sum.\n"
incrsumabs,"\nincrsumabs()\n    Returns an accumulator function which incrementally computes a sum of\n    absolute values.\n"
incrsumabs2,"\nincrsumabs2()\n    Returns an accumulator function which incrementally computes a sum of\n    squared absolute values.\n"
incrsummary,"\nincrsummary()\n    Returns an accumulator function which incrementally computes a statistical\n    summary.\n"
incrsumprod,"\nincrsumprod()\n    Returns an accumulator function which incrementally computes a sum of\n    products.\n"
incrvariance,"\nincrvariance( [mean:number] )\n    Returns an accumulator function which incrementally computes an unbiased\n    sample variance.\n"
incrvmr,"\nincrvmr( [mean:number] )\n    Returns an accumulator function which incrementally computes a variance-to-\n    mean ratio (VMR).\n"
incrwmean,"\nincrwmean()\n    Returns an accumulator function which incrementally computes a weighted\n    arithmetic mean.\n"
ind2sub,"\nind2sub( shape:ArrayLike, idx:integer[, options:Object] )\n    Converts a linear index to an array of subscripts.\n"
ind2sub.assign,"\nind2sub.assign( shape:ArrayLike, idx:integer[, options:Object], \n  out:Array|TypedArray|Object )\n    Converts a linear index to an array of subscripts and assigns results to a\n    provided output array.\n"
indexOf,"\nindexOf( arr:ArrayLike, searchElement:any[, fromIndex:integer] )\n    Returns the first index at which a given element can be found.\n"
inherit,"\ninherit( ctor:Object|Function, superCtor:Object|Function )\n    Prototypical inheritance by replacing the prototype of one constructor with\n    the prototype of another constructor.\n"
inheritedEnumerableProperties,"\ninheritedEnumerableProperties( value:any[, level:integer] )\n    Returns an array of an object's inherited enumerable property names and\n    symbols.\n"
inheritedEnumerablePropertySymbols,"\ninheritedEnumerablePropertySymbols( value:any[, level:integer] )\n    Returns an array of an object's inherited enumerable symbol properties.\n"
inheritedKeys,"\ninheritedKeys( value:any[, level:integer] )\n    Returns an array of an object's inherited enumerable property names.\n"
inheritedNonEnumerableProperties,"\ninheritedNonEnumerableProperties( value:any[, level:integer] )\n    Returns an array of an object's inherited non-enumerable property names and\n    symbols.\n"
inheritedNonEnumerablePropertyNames,"\ninheritedNonEnumerablePropertyNames( value:any[, level:integer] )\n    Returns an array of an object's inherited non-enumerable property names.\n"
inheritedNonEnumerablePropertySymbols,"\ninheritedNonEnumerablePropertySymbols( value:any[, level:integer] )\n    Returns an array of an object's inherited non-enumerable symbol properties.\n"
inheritedProperties,"\ninheritedProperties( value:any[, level:integer] )\n    Returns an array of an object's inherited property names and symbols.\n"
inheritedPropertyDescriptor,"\ninheritedPropertyDescriptor( value:any, property:string|symbol[, \n  level:integer] )\n    Returns a property descriptor for an object's inherited property.\n"
inheritedPropertyDescriptors,"\ninheritedPropertyDescriptors( value:any[, level:integer] )\n    Returns an object's inherited property descriptors.\n"
inheritedPropertyNames,"\ninheritedPropertyNames( value:any[, level:integer] )\n    Returns an array of an object's inherited enumerable and non-enumerable\n    property names.\n"
inheritedPropertySymbols,"\ninheritedPropertySymbols( value:any[, level:integer] )\n    Returns an array of an object's inherited symbol properties.\n"
inheritedWritableProperties,"\ninheritedWritableProperties( value:any[, level:integer] )\n    Returns an array of an object's inherited writable property names and\n    symbols.\n"
inheritedWritablePropertyNames,"\ninheritedWritablePropertyNames( value:any[, level:integer] )\n    Returns an array of an object's inherited writable property names.\n"
inheritedWritablePropertySymbols,"\ninheritedWritablePropertySymbols( value:any[, level:integer] )\n    Returns an array of an object's inherited writable symbol properties.\n"
inmap,"\ninmap( collection:Array|TypedArray|Object, fcn:Function[, thisArg:any] )\n    Invokes a function for each element in a collection and updates the\n    collection in-place.\n"
inmapAsync,"\ninmapAsync( collection:Array|TypedArray|Object, [options:Object,] fcn:Function, \n  done:Function )\n    Invokes a function once for each element in a collection and updates a\n    collection in-place.\n"
inmapAsync.factory,"\ninmapAsync.factory( [options:Object,] fcn:Function )\n    Returns a function which invokes a function once for each element in a\n    collection and updates a collection in-place.\n"
inmapRight,"\ninmapRight( collection:Array|TypedArray|Object, fcn:Function[, thisArg:any] )\n    Invokes a function for each element in a collection and updates the\n    collection in-place, iterating from right to left.\n"
inmapRightAsync,"\ninmapRightAsync( collection:Array|TypedArray|Object, [options:Object,] \n  fcn:Function, done:Function )\n    Invokes a function once for each element in a collection and updates a\n    collection in-place, iterating from right to left.\n"
inmapRightAsync.factory,"\ninmapRightAsync.factory( [options:Object,] fcn:Function )\n    Returns a function which invokes a function once for each element in a\n    collection and updates a collection in-place, iterating from right to left.\n"
inspectSinkStream,"\ninspectSinkStream( [options:Object,] clbk:Function )\n    Returns a writable stream for inspecting stream data.\n"
inspectSinkStream.factory,"\ninspectSinkStream.factory( [options:Object] )\n    Returns a function for creating writable streams for inspecting stream data.\n"
inspectSinkStream.objectMode,"\ninspectSinkStream.objectMode( [options:Object,] clbk:Function )\n    Returns an \"objectMode\" writable stream for inspecting stream data.\n"
inspectStream,"\ninspectStream( [options:Object,] clbk:Function )\n    Returns a transform stream for inspecting stream data.\n"
inspectStream.factory,"\ninspectStream.factory( [options:Object] )\n    Returns a function for creating transform streams for inspecting stream\n    data.\n"
inspectStream.objectMode,"\ninspectStream.objectMode( [options:Object,] clbk:Function )\n    Returns an \"objectMode\" transform stream for inspecting stream data.\n"
instanceOf,"\ninstanceOf( value:any, constructor:Function )\n    Tests whether a value has in its prototype chain a specified constructor as\n    a prototype property.\n"
INT8_MAX,"\nINT8_MAX\n    Maximum signed 8-bit integer.\n"
INT8_MIN,"\nINT8_MIN\n    Minimum signed 8-bit integer.\n"
INT8_NUM_BYTES,"\nINT8_NUM_BYTES\n    Size (in bytes) of an 8-bit signed integer.\n"
Int8Array,"\nInt8Array()\n    A typed array constructor which returns a typed array representing an array\n    of twos-complement 8-bit signed integers in the platform byte order.\n\nInt8Array( length:integer )\n    Returns a typed array having a specified length.\n\nInt8Array( typedarray:TypedArray )\n    Creates a typed array from another typed array.\n\nInt8Array( obj:Object )\n    Creates a typed array from an array-like object or iterable.\n\nInt8Array( buffer:ArrayBuffer[, byteOffset:integer[, length:integer]] )\n    Returns a typed array view of an ArrayBuffer.\n"
Int8Array.from,"\nInt8Array.from( src:ArrayLike|Iterable[, map:Function[, thisArg:Any]] )\n    Creates a new typed array from an array-like object or an iterable.\n"
Int8Array.of,"\nInt8Array.of( element0:number[, element1:number[, ...elementN:number]] )\n    Creates a new typed array from a variable number of arguments.\n"
Int8Array.BYTES_PER_ELEMENT,"\nInt8Array.BYTES_PER_ELEMENT\n    Number of bytes per view element.\n"
Int8Array.name,"\nInt8Array.name\n    Typed array constructor name.\n"
Int8Array.prototype.buffer,"\nInt8Array.prototype.buffer\n    Read-only property which returns the ArrayBuffer referenced by the typed\n    array.\n"
Int8Array.prototype.byteLength,"\nInt8Array.prototype.byteLength\n    Read-only property which returns the length (in bytes) of the typed array.\n"
Int8Array.prototype.byteOffset,"\nInt8Array.prototype.byteOffset\n    Read-only property which returns the offset (in bytes) of the typed array\n    from the start of its ArrayBuffer.\n"
Int8Array.prototype.BYTES_PER_ELEMENT,"\nInt8Array.prototype.BYTES_PER_ELEMENT\n    Number of bytes per view element.\n"
Int8Array.prototype.length,"\nInt8Array.prototype.length\n    Read-only property which returns the number of view elements.\n"
Int8Array.prototype.copyWithin,"\nInt8Array.prototype.copyWithin( target:integer, start:integer[, end:integer] )\n    Copies a sequence of elements within the array starting at `start` and\n    ending at `end` (non-inclusive) to the position starting at `target`.\n"
Int8Array.prototype.entries,"\nInt8Array.prototype.entries()\n    Returns an iterator for iterating over array key-value pairs.\n"
Int8Array.prototype.every,"\nInt8Array.prototype.every( predicate:Function[, thisArg:Any] )\n    Tests whether all array elements pass a test implemented by a predicate\n    function.\n"
Int8Array.prototype.fill,"\nInt8Array.prototype.fill( value:number[, start:integer[, end:integer]] )\n    Fills an array from a start index to an end index (non-inclusive) with a\n    provided value.\n"
Int8Array.prototype.filter,"\nInt8Array.prototype.filter( predicate:Function[, thisArg:Any] )\n    Creates a new array which includes those elements for which a predicate\n    function returns a truthy value.\n"
Int8Array.prototype.find,"\nInt8Array.prototype.find( predicate:Function[, thisArg:Any] )\n    Returns the first array element for which a provided predicate function\n    returns a truthy value.\n"
Int8Array.prototype.findIndex,"\nInt8Array.prototype.findIndex( predicate:Function[, thisArg:Any] )\n    Returns the index of the first array element for which a provided predicate\n    function returns a truthy value.\n"
Int8Array.prototype.forEach,"\nInt8Array.prototype.forEach( fcn:Function[, thisArg:Any] )\n    Invokes a callback for each array element.\n"
Int8Array.prototype.includes,"\nInt8Array.prototype.includes( searchElement:number[, fromIndex:integer] )\n    Returns a boolean indicating whether an array includes a search element.\n"
Int8Array.prototype.indexOf,"\nInt8Array.prototype.indexOf( searchElement:number[, fromIndex:integer] )\n    Returns the index of the first array element strictly equal to a search\n    element.\n"
Int8Array.prototype.join,"\nInt8Array.prototype.join( [separator:string] )\n    Serializes an array by joining all array elements as a string.\n"
Int8Array.prototype.keys,"\nInt8Array.prototype.keys()\n    Returns an iterator for iterating over array keys.\n"
Int8Array.prototype.lastIndexOf,"\nInt8Array.prototype.lastIndexOf( searchElement:number[, fromIndex:integer] )\n    Returns the index of the last array element strictly equal to a search\n    element.\n"
Int8Array.prototype.map,"\nInt8Array.prototype.map( fcn:Function[, thisArg:Any] )\n    Maps each array element to an element in a new typed array.\n"
Int8Array.prototype.reduce,"\nInt8Array.prototype.reduce( fcn:Function[, initialValue:Any] )\n    Applies a function against an accumulator and each element in an array and\n    returns the accumulated result.\n"
Int8Array.prototype.reduceRight,"\nInt8Array.prototype.reduceRight( fcn:Function[, initialValue:Any] )\n    Applies a function against an accumulator and each element in an array and\n    returns the accumulated result, iterating from right to left.\n"
